Gene stable ID,Gene stable ID version,Transcript stable ID,Transcript stable ID version,Crab-eating macaque gene stable ID,Crab-eating macaque gene name,Gene name
ENSG00000198727,ENSG00000198727.2,ENST00000361789,ENST00000361789.2,ENSMFAG00000046427,CYTB,MT-CYB
ENSG00000222623,ENSG00000222623.1,ENST00000410691,ENST00000410691.1,ENSMFAG00000007882,U6,RNU6-1100P
ENSG00000278757,ENSG00000278757.1,ENST00000614007,ENST00000614007.1,ENSMFAG00000007882,U6,U6
ENSG00000223181,ENSG00000223181.1,ENST00000411249,ENST00000411249.1,ENSMFAG00000007882,U6,RNU6-1199P
ENSG00000187634,ENSG00000187634.12,ENST00000617307,ENST00000617307.4,ENSMFAG00000042117,SAMD11,SAMD11
ENSG00000187634,ENSG00000187634.12,ENST00000620200,ENST00000620200.4,ENSMFAG00000042117,SAMD11,SAMD11
ENSG00000187634,ENSG00000187634.12,ENST00000616125,ENST00000616125.4,ENSMFAG00000042117,SAMD11,SAMD11
ENSG00000187634,ENSG00000187634.12,ENST00000618779,ENST00000618779.4,ENSMFAG00000042117,SAMD11,SAMD11
ENSG00000187634,ENSG00000187634.12,ENST00000616016,ENST00000616016.4,ENSMFAG00000042117,SAMD11,SAMD11
ENSG00000187634,ENSG00000187634.12,ENST00000618323,ENST00000618323.4,ENSMFAG00000042117,SAMD11,SAMD11
ENSG00000187634,ENSG00000187634.12,ENST00000622503,ENST00000622503.4,ENSMFAG00000042117,SAMD11,SAMD11
ENSG00000187634,ENSG00000187634.12,ENST00000618181,ENST00000618181.4,ENSMFAG00000042117,SAMD11,SAMD11
ENSG00000187634,ENSG00000187634.12,ENST00000464948,ENST00000464948.1,ENSMFAG00000042117,SAMD11,SAMD11
ENSG00000187634,ENSG00000187634.12,ENST00000466827,ENST00000466827.1,ENSMFAG00000042117,SAMD11,SAMD11
ENSG00000187634,ENSG00000187634.12,ENST00000474461,ENST00000474461.1,ENSMFAG00000042117,SAMD11,SAMD11
ENSG00000187634,ENSG00000187634.12,ENST00000478729,ENST00000478729.1,ENSMFAG00000042117,SAMD11,SAMD11
ENSG00000187634,ENSG00000187634.12,ENST00000455979,ENST00000455979.1,ENSMFAG00000042117,SAMD11,SAMD11
ENSG00000187634,ENSG00000187634.12,ENST00000420190,ENST00000420190.6,ENSMFAG00000042117,SAMD11,SAMD11
ENSG00000187634,ENSG00000187634.12,ENST00000437963,ENST00000437963.5,ENSMFAG00000042117,SAMD11,SAMD11
ENSG00000187634,ENSG00000187634.12,ENST00000342066,ENST00000342066.8,ENSMFAG00000042117,SAMD11,SAMD11
ENSG00000187634,ENSG00000187634.12,ENST00000341065,ENST00000341065.8,ENSMFAG00000042117,SAMD11,SAMD11
ENSG00000188976,ENSG00000188976.11,ENST00000469563,ENST00000469563.1,ENSMFAG00000032890,NOC2L,NOC2L
ENSG00000188976,ENSG00000188976.11,ENST00000487214,ENST00000487214.1,ENSMFAG00000032890,NOC2L,NOC2L
ENSG00000188976,ENSG00000188976.11,ENST00000496938,ENST00000496938.1,ENSMFAG00000032890,NOC2L,NOC2L
ENSG00000188976,ENSG00000188976.11,ENST00000477976,ENST00000477976.5,ENSMFAG00000032890,NOC2L,NOC2L
ENSG00000188976,ENSG00000188976.11,ENST00000327044,ENST00000327044.7,ENSMFAG00000032890,NOC2L,NOC2L
ENSG00000188976,ENSG00000188976.11,ENST00000483767,ENST00000483767.5,ENSMFAG00000032890,NOC2L,NOC2L
ENSG00000187961,ENSG00000187961.14,ENST00000481067,ENST00000481067.1,ENSMFAG00000037797,KLHL17,KLHL17
ENSG00000187961,ENSG00000187961.14,ENST00000622660,ENST00000622660.1,ENSMFAG00000037797,KLHL17,KLHL17
ENSG00000187961,ENSG00000187961.14,ENST00000466300,ENST00000466300.1,ENSMFAG00000037797,KLHL17,KLHL17
ENSG00000187961,ENSG00000187961.14,ENST00000463212,ENST00000463212.1,ENSMFAG00000037797,KLHL17,KLHL17
ENSG00000187961,ENSG00000187961.14,ENST00000338591,ENST00000338591.8,ENSMFAG00000037797,KLHL17,KLHL17
ENSG00000187583,ENSG00000187583.11,ENST00000491024,ENST00000491024.1,ENSMFAG00000039696,PLEKHN1,PLEKHN1
ENSG00000187583,ENSG00000187583.11,ENST00000480267,ENST00000480267.1,ENSMFAG00000039696,PLEKHN1,PLEKHN1
ENSG00000187583,ENSG00000187583.11,ENST00000379407,ENST00000379407.7,ENSMFAG00000039696,PLEKHN1,PLEKHN1
ENSG00000187583,ENSG00000187583.11,ENST00000379409,ENST00000379409.6,ENSMFAG00000039696,PLEKHN1,PLEKHN1
ENSG00000187583,ENSG00000187583.11,ENST00000379410,ENST00000379410.8,ENSMFAG00000039696,PLEKHN1,PLEKHN1
ENSG00000187642,ENSG00000187642.9,ENST00000433179,ENST00000433179.3,ENSMFAG00000041450,PERM1,PERM1
ENSG00000187642,ENSG00000187642.9,ENST00000479361,ENST00000479361.1,ENSMFAG00000041450,PERM1,PERM1
ENSG00000187642,ENSG00000187642.9,ENST00000341290,ENST00000341290.6,ENSMFAG00000041450,PERM1,PERM1
ENSG00000188290,ENSG00000188290.11,ENST00000484667,ENST00000484667.2,ENSMFAG00000001738,HES4,HES4
ENSG00000188290,ENSG00000188290.11,ENST00000481869,ENST00000481869.1,ENSMFAG00000001738,HES4,HES4
ENSG00000188290,ENSG00000188290.11,ENST00000304952,ENST00000304952.11,ENSMFAG00000001738,HES4,HES4
ENSG00000188290,ENSG00000188290.11,ENST00000428771,ENST00000428771.6,ENSMFAG00000001738,HES4,HES4
ENSG00000187608,ENSG00000187608.10,ENST00000649529,ENST00000649529.1,ENSMFAG00000041386,ISG15,ISG15
ENSG00000187608,ENSG00000187608.10,ENST00000624652,ENST00000624652.1,ENSMFAG00000041386,ISG15,ISG15
ENSG00000187608,ENSG00000187608.10,ENST00000624697,ENST00000624697.4,ENSMFAG00000041386,ISG15,ISG15
ENSG00000188157,ENSG00000188157.15,ENST00000620552,ENST00000620552.4,ENSMFAG00000038496,AGRN,AGRN
ENSG00000188157,ENSG00000188157.15,ENST00000461111,ENST00000461111.1,ENSMFAG00000038496,AGRN,AGRN
ENSG00000188157,ENSG00000188157.15,ENST00000492947,ENST00000492947.1,ENSMFAG00000038496,AGRN,AGRN
ENSG00000188157,ENSG00000188157.15,ENST00000478677,ENST00000478677.1,ENSMFAG00000038496,AGRN,AGRN
ENSG00000188157,ENSG00000188157.15,ENST00000466223,ENST00000466223.1,ENSMFAG00000038496,AGRN,AGRN
ENSG00000188157,ENSG00000188157.15,ENST00000479707,ENST00000479707.1,ENSMFAG00000038496,AGRN,AGRN
ENSG00000188157,ENSG00000188157.15,ENST00000469403,ENST00000469403.1,ENSMFAG00000038496,AGRN,AGRN
ENSG00000188157,ENSG00000188157.15,ENST00000651234,ENST00000651234.1,ENSMFAG00000038496,AGRN,AGRN
ENSG00000188157,ENSG00000188157.15,ENST00000652369,ENST00000652369.1,ENSMFAG00000038496,AGRN,AGRN
ENSG00000188157,ENSG00000188157.15,ENST00000379370,ENST00000379370.7,ENSMFAG00000038496,AGRN,AGRN
ENSG00000131591,ENSG00000131591.17,ENST00000473600,ENST00000473600.1,ENSMFAG00000041044,C1orf159,C1orf159
ENSG00000131591,ENSG00000131591.17,ENST00000462097,ENST00000462097.5,ENSMFAG00000041044,C1orf159,C1orf159
ENSG00000131591,ENSG00000131591.17,ENST00000467751,ENST00000467751.5,ENSMFAG00000041044,C1orf159,C1orf159
ENSG00000131591,ENSG00000131591.17,ENST00000464905,ENST00000464905.1,ENSMFAG00000041044,C1orf159,C1orf159
ENSG00000131591,ENSG00000131591.17,ENST00000379320,ENST00000379320.5,ENSMFAG00000041044,C1orf159,C1orf159
ENSG00000131591,ENSG00000131591.17,ENST00000379319,ENST00000379319.5,ENSMFAG00000041044,C1orf159,C1orf159
ENSG00000131591,ENSG00000131591.17,ENST00000434641,ENST00000434641.5,ENSMFAG00000041044,C1orf159,C1orf159
ENSG00000131591,ENSG00000131591.17,ENST00000482816,ENST00000482816.5,ENSMFAG00000041044,C1orf159,C1orf159
ENSG00000131591,ENSG00000131591.17,ENST00000477196,ENST00000477196.5,ENSMFAG00000041044,C1orf159,C1orf159
ENSG00000131591,ENSG00000131591.17,ENST00000487177,ENST00000487177.5,ENSMFAG00000041044,C1orf159,C1orf159
ENSG00000131591,ENSG00000131591.17,ENST00000421241,ENST00000421241.6,ENSMFAG00000041044,C1orf159,C1orf159
ENSG00000131591,ENSG00000131591.17,ENST00000379325,ENST00000379325.7,ENSMFAG00000041044,C1orf159,C1orf159
ENSG00000131591,ENSG00000131591.17,ENST00000465822,ENST00000465822.5,ENSMFAG00000041044,C1orf159,C1orf159
ENSG00000131591,ENSG00000131591.17,ENST00000379339,ENST00000379339.5,ENSMFAG00000041044,C1orf159,C1orf159
ENSG00000131591,ENSG00000131591.17,ENST00000480643,ENST00000480643.1,ENSMFAG00000041044,C1orf159,C1orf159
ENSG00000131591,ENSG00000131591.17,ENST00000472741,ENST00000472741.5,ENSMFAG00000041044,C1orf159,C1orf159
ENSG00000131591,ENSG00000131591.17,ENST00000427787,ENST00000427787.5,ENSMFAG00000041044,C1orf159,C1orf159
ENSG00000131591,ENSG00000131591.17,ENST00000442117,ENST00000442117.5,ENSMFAG00000041044,C1orf159,C1orf159
ENSG00000131591,ENSG00000131591.17,ENST00000475119,ENST00000475119.5,ENSMFAG00000041044,C1orf159,C1orf159
ENSG00000207730,ENSG00000207730.3,ENST00000384997,ENST00000384997.3,ENSMFAG00000009916,MIR200B,MIR200B
ENSG00000207607,ENSG00000207607.3,ENST00000384875,ENST00000384875.3,ENSMFAG00000010731,MIR200A,MIR200A
ENSG00000162571,ENSG00000162571.14,ENST00000379290,ENST00000379290.6,ENSMFAG00000003014,TTLL10,TTLL10
ENSG00000162571,ENSG00000162571.14,ENST00000379289,ENST00000379289.6,ENSMFAG00000003014,TTLL10,TTLL10
ENSG00000162571,ENSG00000162571.14,ENST00000506177,ENST00000506177.1,ENSMFAG00000003014,TTLL10,TTLL10
ENSG00000162571,ENSG00000162571.14,ENST00000673999,ENST00000673999.1,ENSMFAG00000003014,TTLL10,TTLL10
ENSG00000162571,ENSG00000162571.14,ENST00000379288,ENST00000379288.3,ENSMFAG00000003014,TTLL10,TTLL10
ENSG00000162571,ENSG00000162571.14,ENST00000460998,ENST00000460998.1,ENSMFAG00000003014,TTLL10,TTLL10
ENSG00000162571,ENSG00000162571.14,ENST00000514695,ENST00000514695.1,ENSMFAG00000003014,TTLL10,TTLL10
ENSG00000162571,ENSG00000162571.14,ENST00000486379,ENST00000486379.1,ENSMFAG00000003014,TTLL10,TTLL10
ENSG00000186891,ENSG00000186891.14,ENST00000379265,ENST00000379265.5,ENSMFAG00000038779,TNFRSF18,TNFRSF18
ENSG00000186891,ENSG00000186891.14,ENST00000486728,ENST00000486728.5,ENSMFAG00000038779,TNFRSF18,TNFRSF18
ENSG00000186891,ENSG00000186891.14,ENST00000379268,ENST00000379268.7,ENSMFAG00000038779,TNFRSF18,TNFRSF18
ENSG00000186891,ENSG00000186891.14,ENST00000328596,ENST00000328596.10,ENSMFAG00000038779,TNFRSF18,TNFRSF18
ENSG00000186827,ENSG00000186827.11,ENST00000453580,ENST00000453580.1,ENSMFAG00000036331,TNFRSF4,TNFRSF4
ENSG00000186827,ENSG00000186827.11,ENST00000497869,ENST00000497869.5,ENSMFAG00000036331,TNFRSF4,TNFRSF4
ENSG00000186827,ENSG00000186827.11,ENST00000379236,ENST00000379236.4,ENSMFAG00000036331,TNFRSF4,TNFRSF4
ENSG00000078808,ENSG00000078808.18,ENST00000660930,ENST00000660930.1,ENSMFAG00000039169,SDF4,SDF4
ENSG00000078808,ENSG00000078808.18,ENST00000459994,ENST00000459994.2,ENSMFAG00000039169,SDF4,SDF4
ENSG00000078808,ENSG00000078808.18,ENST00000403997,ENST00000403997.2,ENSMFAG00000039169,SDF4,SDF4
ENSG00000078808,ENSG00000078808.18,ENST00000478938,ENST00000478938.1,ENSMFAG00000039169,SDF4,SDF4
ENSG00000078808,ENSG00000078808.18,ENST00000494748,ENST00000494748.1,ENSMFAG00000039169,SDF4,SDF4
ENSG00000078808,ENSG00000078808.18,ENST00000263741,ENST00000263741.12,ENSMFAG00000039169,SDF4,SDF4
ENSG00000078808,ENSG00000078808.18,ENST00000465727,ENST00000465727.5,ENSMFAG00000039169,SDF4,SDF4
ENSG00000078808,ENSG00000078808.18,ENST00000360001,ENST00000360001.11,ENSMFAG00000039169,SDF4,SDF4
ENSG00000176022,ENSG00000176022.7,ENST00000379198,ENST00000379198.5,ENSMFAG00000040380,B3GALT6,B3GALT6
ENSG00000184163,ENSG00000184163.3,ENST00000486627,ENST00000486627.1,ENSMFAG00000046292,C1QTNF12,C1QTNF12
ENSG00000184163,ENSG00000184163.3,ENST00000468365,ENST00000468365.1,ENSMFAG00000046292,C1QTNF12,C1QTNF12
ENSG00000184163,ENSG00000184163.3,ENST00000330388,ENST00000330388.2,ENSMFAG00000046292,C1QTNF12,C1QTNF12
ENSG00000184163,ENSG00000184163.3,ENST00000478606,ENST00000478606.1,ENSMFAG00000046292,C1QTNF12,C1QTNF12
ENSG00000184163,ENSG00000184163.3,ENST00000462849,ENST00000462849.1,ENSMFAG00000046292,C1QTNF12,C1QTNF12
ENSG00000160087,ENSG00000160087.21,ENST00000347370,ENST00000347370.6,ENSMFAG00000042625,UBE2J2,UBE2J2
ENSG00000160087,ENSG00000160087.21,ENST00000488418,ENST00000488418.2,ENSMFAG00000042625,UBE2J2,UBE2J2
ENSG00000160087,ENSG00000160087.21,ENST00000461142,ENST00000461142.3,ENSMFAG00000042625,UBE2J2,UBE2J2
ENSG00000160087,ENSG00000160087.21,ENST00000502382,ENST00000502382.1,ENSMFAG00000042625,UBE2J2,UBE2J2
ENSG00000160087,ENSG00000160087.21,ENST00000422076,ENST00000422076.5,ENSMFAG00000042625,UBE2J2,UBE2J2
ENSG00000160087,ENSG00000160087.21,ENST00000471154,ENST00000471154.1,ENSMFAG00000042625,UBE2J2,UBE2J2
ENSG00000160087,ENSG00000160087.21,ENST00000477894,ENST00000477894.5,ENSMFAG00000042625,UBE2J2,UBE2J2
ENSG00000160087,ENSG00000160087.21,ENST00000503294,ENST00000503294.5,ENSMFAG00000042625,UBE2J2,UBE2J2
ENSG00000160087,ENSG00000160087.21,ENST00000466752,ENST00000466752.5,ENSMFAG00000042625,UBE2J2,UBE2J2
ENSG00000160087,ENSG00000160087.21,ENST00000491779,ENST00000491779.5,ENSMFAG00000042625,UBE2J2,UBE2J2
ENSG00000160087,ENSG00000160087.21,ENST00000509720,ENST00000509720.5,ENSMFAG00000042625,UBE2J2,UBE2J2
ENSG00000160087,ENSG00000160087.21,ENST00000435198,ENST00000435198.5,ENSMFAG00000042625,UBE2J2,UBE2J2
ENSG00000160087,ENSG00000160087.21,ENST00000473215,ENST00000473215.5,ENSMFAG00000042625,UBE2J2,UBE2J2
ENSG00000160087,ENSG00000160087.21,ENST00000467339,ENST00000467339.1,ENSMFAG00000042625,UBE2J2,UBE2J2
ENSG00000160087,ENSG00000160087.21,ENST00000400930,ENST00000400930.8,ENSMFAG00000042625,UBE2J2,UBE2J2
ENSG00000160087,ENSG00000160087.21,ENST00000360466,ENST00000360466.6,ENSMFAG00000042625,UBE2J2,UBE2J2
ENSG00000160087,ENSG00000160087.21,ENST00000464036,ENST00000464036.5,ENSMFAG00000042625,UBE2J2,UBE2J2
ENSG00000160087,ENSG00000160087.21,ENST00000400929,ENST00000400929.6,ENSMFAG00000042625,UBE2J2,UBE2J2
ENSG00000160087,ENSG00000160087.21,ENST00000349431,ENST00000349431.11,ENSMFAG00000042625,UBE2J2,UBE2J2
ENSG00000160087,ENSG00000160087.21,ENST00000450390,ENST00000450390.6,ENSMFAG00000042625,UBE2J2,UBE2J2
ENSG00000162572,ENSG00000162572.21,ENST00000400928,ENST00000400928.7,ENSMFAG00000037138,SCNN1D,SCNN1D
ENSG00000162572,ENSG00000162572.21,ENST00000379099,ENST00000379099.3,ENSMFAG00000037138,SCNN1D,SCNN1D
ENSG00000162572,ENSG00000162572.21,ENST00000467651,ENST00000467651.2,ENSMFAG00000037138,SCNN1D,SCNN1D
ENSG00000162572,ENSG00000162572.21,ENST00000325425,ENST00000325425.12,ENSMFAG00000037138,SCNN1D,SCNN1D
ENSG00000162572,ENSG00000162572.21,ENST00000470022,ENST00000470022.1,ENSMFAG00000037138,SCNN1D,SCNN1D
ENSG00000162572,ENSG00000162572.21,ENST00000338555,ENST00000338555.6,ENSMFAG00000037138,SCNN1D,SCNN1D
ENSG00000162572,ENSG00000162572.21,ENST00000379101,ENST00000379101.8,ENSMFAG00000037138,SCNN1D,SCNN1D
ENSG00000162572,ENSG00000162572.21,ENST00000379116,ENST00000379116.10,ENSMFAG00000037138,SCNN1D,SCNN1D
ENSG00000131584,ENSG00000131584.19,ENST00000353662,ENST00000353662.4,ENSMFAG00000039429,ACAP3,ACAP3
ENSG00000131584,ENSG00000131584.19,ENST00000438966,ENST00000438966.1,ENSMFAG00000039429,ACAP3,ACAP3
ENSG00000131584,ENSG00000131584.19,ENST00000479108,ENST00000479108.5,ENSMFAG00000039429,ACAP3,ACAP3
ENSG00000131584,ENSG00000131584.19,ENST00000478065,ENST00000478065.5,ENSMFAG00000039429,ACAP3,ACAP3
ENSG00000131584,ENSG00000131584.19,ENST00000354980,ENST00000354980.7,ENSMFAG00000039429,ACAP3,ACAP3
ENSG00000131584,ENSG00000131584.19,ENST00000472541,ENST00000472541.5,ENSMFAG00000039429,ACAP3,ACAP3
ENSG00000131584,ENSG00000131584.19,ENST00000493992,ENST00000493992.1,ENSMFAG00000039429,ACAP3,ACAP3
ENSG00000131584,ENSG00000131584.19,ENST00000476572,ENST00000476572.1,ENSMFAG00000039429,ACAP3,ACAP3
ENSG00000131584,ENSG00000131584.19,ENST00000379037,ENST00000379037.6,ENSMFAG00000039429,ACAP3,ACAP3
ENSG00000131584,ENSG00000131584.19,ENST00000470659,ENST00000470659.1,ENSMFAG00000039429,ACAP3,ACAP3
ENSG00000131584,ENSG00000131584.19,ENST00000467278,ENST00000467278.5,ENSMFAG00000039429,ACAP3,ACAP3
ENSG00000131584,ENSG00000131584.19,ENST00000492936,ENST00000492936.5,ENSMFAG00000039429,ACAP3,ACAP3
ENSG00000131584,ENSG00000131584.19,ENST00000354700,ENST00000354700.10,ENSMFAG00000039429,ACAP3,ACAP3
ENSG00000169972,ENSG00000169972.12,ENST00000493657,ENST00000493657.1,ENSMFAG00000046288,PUSL1,PUSL1
ENSG00000169972,ENSG00000169972.12,ENST00000467712,ENST00000467712.1,ENSMFAG00000046288,PUSL1,PUSL1
ENSG00000169972,ENSG00000169972.12,ENST00000463758,ENST00000463758.1,ENSMFAG00000046288,PUSL1,PUSL1
ENSG00000169972,ENSG00000169972.12,ENST00000470520,ENST00000470520.5,ENSMFAG00000046288,PUSL1,PUSL1
ENSG00000169972,ENSG00000169972.12,ENST00000379031,ENST00000379031.10,ENSMFAG00000046288,PUSL1,PUSL1
ENSG00000127054,ENSG00000127054.21,ENST00000618806,ENST00000618806.4,ENSMFAG00000044583,INTS11,INTS11
ENSG00000127054,ENSG00000127054.21,ENST00000620829,ENST00000620829.4,ENSMFAG00000044583,INTS11,INTS11
ENSG00000127054,ENSG00000127054.21,ENST00000545578,ENST00000545578.5,ENSMFAG00000044583,INTS11,INTS11
ENSG00000127054,ENSG00000127054.21,ENST00000540437,ENST00000540437.5,ENSMFAG00000044583,INTS11,INTS11
ENSG00000127054,ENSG00000127054.21,ENST00000530233,ENST00000530233.1,ENSMFAG00000044583,INTS11,INTS11
ENSG00000127054,ENSG00000127054.21,ENST00000525285,ENST00000525285.1,ENSMFAG00000044583,INTS11,INTS11
ENSG00000127054,ENSG00000127054.21,ENST00000470679,ENST00000470679.3,ENSMFAG00000044583,INTS11,INTS11
ENSG00000127054,ENSG00000127054.21,ENST00000527719,ENST00000527719.5,ENSMFAG00000044583,INTS11,INTS11
ENSG00000127054,ENSG00000127054.21,ENST00000530031,ENST00000530031.5,ENSMFAG00000044583,INTS11,INTS11
ENSG00000127054,ENSG00000127054.21,ENST00000526113,ENST00000526113.1,ENSMFAG00000044583,INTS11,INTS11
ENSG00000127054,ENSG00000127054.21,ENST00000526904,ENST00000526904.5,ENSMFAG00000044583,INTS11,INTS11
ENSG00000127054,ENSG00000127054.21,ENST00000525603,ENST00000525603.1,ENSMFAG00000044583,INTS11,INTS11
ENSG00000127054,ENSG00000127054.21,ENST00000429572,ENST00000429572.5,ENSMFAG00000044583,INTS11,INTS11
ENSG00000127054,ENSG00000127054.21,ENST00000498173,ENST00000498173.2,ENSMFAG00000044583,INTS11,INTS11
ENSG00000127054,ENSG00000127054.21,ENST00000496353,ENST00000496353.1,ENSMFAG00000044583,INTS11,INTS11
ENSG00000127054,ENSG00000127054.21,ENST00000493534,ENST00000493534.6,ENSMFAG00000044583,INTS11,INTS11
ENSG00000127054,ENSG00000127054.21,ENST00000534345,ENST00000534345.5,ENSMFAG00000044583,INTS11,INTS11
ENSG00000127054,ENSG00000127054.21,ENST00000532952,ENST00000532952.5,ENSMFAG00000044583,INTS11,INTS11
ENSG00000127054,ENSG00000127054.21,ENST00000490853,ENST00000490853.5,ENSMFAG00000044583,INTS11,INTS11
ENSG00000127054,ENSG00000127054.21,ENST00000531019,ENST00000531019.5,ENSMFAG00000044583,INTS11,INTS11
ENSG00000127054,ENSG00000127054.21,ENST00000498476,ENST00000498476.6,ENSMFAG00000044583,INTS11,INTS11
ENSG00000127054,ENSG00000127054.21,ENST00000430786,ENST00000430786.5,ENSMFAG00000044583,INTS11,INTS11
ENSG00000127054,ENSG00000127054.21,ENST00000526332,ENST00000526332.5,ENSMFAG00000044583,INTS11,INTS11
ENSG00000127054,ENSG00000127054.21,ENST00000526797,ENST00000526797.5,ENSMFAG00000044583,INTS11,INTS11
ENSG00000127054,ENSG00000127054.21,ENST00000488042,ENST00000488042.6,ENSMFAG00000044583,INTS11,INTS11
ENSG00000127054,ENSG00000127054.21,ENST00000533916,ENST00000533916.5,ENSMFAG00000044583,INTS11,INTS11
ENSG00000127054,ENSG00000127054.21,ENST00000531020,ENST00000531020.1,ENSMFAG00000044583,INTS11,INTS11
ENSG00000127054,ENSG00000127054.21,ENST00000434694,ENST00000434694.6,ENSMFAG00000044583,INTS11,INTS11
ENSG00000127054,ENSG00000127054.21,ENST00000532772,ENST00000532772.5,ENSMFAG00000044583,INTS11,INTS11
ENSG00000127054,ENSG00000127054.21,ENST00000450926,ENST00000450926.6,ENSMFAG00000044583,INTS11,INTS11
ENSG00000127054,ENSG00000127054.21,ENST00000527098,ENST00000527098.5,ENSMFAG00000044583,INTS11,INTS11
ENSG00000127054,ENSG00000127054.21,ENST00000485710,ENST00000485710.5,ENSMFAG00000044583,INTS11,INTS11
ENSG00000127054,ENSG00000127054.21,ENST00000461514,ENST00000461514.6,ENSMFAG00000044583,INTS11,INTS11
ENSG00000127054,ENSG00000127054.21,ENST00000525164,ENST00000525164.5,ENSMFAG00000044583,INTS11,INTS11
ENSG00000127054,ENSG00000127054.21,ENST00000528879,ENST00000528879.5,ENSMFAG00000044583,INTS11,INTS11
ENSG00000127054,ENSG00000127054.21,ENST00000525769,ENST00000525769.5,ENSMFAG00000044583,INTS11,INTS11
ENSG00000127054,ENSG00000127054.21,ENST00000531377,ENST00000531377.5,ENSMFAG00000044583,INTS11,INTS11
ENSG00000127054,ENSG00000127054.21,ENST00000527383,ENST00000527383.5,ENSMFAG00000044583,INTS11,INTS11
ENSG00000127054,ENSG00000127054.21,ENST00000531292,ENST00000531292.5,ENSMFAG00000044583,INTS11,INTS11
ENSG00000127054,ENSG00000127054.21,ENST00000467408,ENST00000467408.6,ENSMFAG00000044583,INTS11,INTS11
ENSG00000127054,ENSG00000127054.21,ENST00000419704,ENST00000419704.5,ENSMFAG00000044583,INTS11,INTS11
ENSG00000127054,ENSG00000127054.21,ENST00000458452,ENST00000458452.7,ENSMFAG00000044583,INTS11,INTS11
ENSG00000127054,ENSG00000127054.21,ENST00000421495,ENST00000421495.6,ENSMFAG00000044583,INTS11,INTS11
ENSG00000127054,ENSG00000127054.21,ENST00000478641,ENST00000478641.5,ENSMFAG00000044583,INTS11,INTS11
ENSG00000127054,ENSG00000127054.21,ENST00000462432,ENST00000462432.5,ENSMFAG00000044583,INTS11,INTS11
ENSG00000127054,ENSG00000127054.21,ENST00000411962,ENST00000411962.5,ENSMFAG00000044583,INTS11,INTS11
ENSG00000127054,ENSG00000127054.21,ENST00000323275,ENST00000323275.10,ENSMFAG00000044583,INTS11,INTS11
ENSG00000127054,ENSG00000127054.21,ENST00000497304,ENST00000497304.6,ENSMFAG00000044583,INTS11,INTS11
ENSG00000127054,ENSG00000127054.21,ENST00000435064,ENST00000435064.6,ENSMFAG00000044583,INTS11,INTS11
ENSG00000127054,ENSG00000127054.21,ENST00000470030,ENST00000470030.6,ENSMFAG00000044583,INTS11,INTS11
ENSG00000224051,ENSG00000224051.7,ENST00000488011,ENST00000488011.1,ENSMFAG00000002471,CPTP,CPTP
ENSG00000224051,ENSG00000224051.7,ENST00000343938,ENST00000343938.9,ENSMFAG00000002471,CPTP,CPTP
ENSG00000224051,ENSG00000224051.7,ENST00000464957,ENST00000464957.1,ENSMFAG00000002471,CPTP,CPTP
